Time(hours),strain (ustrain),Stress ,Temperature,Humidity
3720.266709,13320.45512,6.02,19.8,60
3720.766916,13320.51062,6.02,19.8,60
3721.266692,13319.21837,6.02,19.8,60
3721.766701,13321.54182,6.02,19.8,61
3722.26669,13324.38699,6.02,19.8,61
3722.766694,13325.92804,6.02,19.8,61
3723.266703,13328.25187,6.02,19.9,61
3723.76669,13330.32574,6.02,19.9,61
3724.266693,13332.38852,6.02,19.8,61
3724.766694,13331.35694,6.02,19.9,61
3725.266703,13333.68077,6.02,19.8,61
3725.766706,13335.49435,6.02,19.8,61
3726.266694,13336.52555,6.02,19.8,62
3726.766691,13336.52555,6.02,19.8,62
3727.266692,13338.849,6.02,19.8,62
3727.7667,13341.68191,6.02,19.8,62
3728.266706,13339.61952,6.02,19.8,62
3728.766694,13340.65072,6.02,19.8,62
3729.266694,13340.65072,6.02,19.8,62
3729.766919,13343.19158,6.02,19.8,62
3730.266693,13344.22316,6.02,19.7,63
3730.766694,13345.51502,6.02,19.7,63
3731.2667,13348.09914,6.02,19.7,63
3731.766693,13350.93244,6.02,19.7,63
3732.266695,13349.65206,6.02,19.7,63
3732.766691,13352.48498,6.02,19.7,63
3733.266707,13352.48498,6.02,19.7,63
3733.766704,13352.48498,6.02,19.7,63
3734.266692,13349.39139,6.02,19.7,63
3734.766692,13350.93244,6.02,19.7,63
3735.266695,13353.00708,6.02,19.7,63
3735.766696,13354.54775,6.02,19.7,63
3736.266706,13355.84,6.02,19.7,63
3736.766694,13355.84,6.02,19.7,63
3737.266696,13357.13187,6.02,19.7,63
3737.766696,13360.48727,6.02,19.7,63
3738.266694,13360.73608,6.02,19.7,63
3738.766691,13360.99636,6.02,19.7,63
3739.266701,13363.32019,6.02,19.7,64
3739.766699,13366.67522,6.02,19.7,64
3740.266691,13368.47694,6.02,19.8,64
3740.766692,13372.3533,6.02,19.8,64
3741.266712,13373.89397,6.02,19.8,65
3741.766705,13374.62584,6.02,19.8,65
3742.266693,13375.65703,6.02,19.8,65
3742.766696,13379.27234,6.02,19.8,66
3743.266691,13381.85646,6.02,19.8,66
3743.766699,13385.72134,6.02,19.9,67
3744.266709,13388.29359,6.02,19.9,67
3744.766691,13393.97206,6.02,20,68
3745.266694,13402.72766,6.02,20.1,68
3745.766701,13407.88402,6.02,20.2,68
3746.266696,13414.84249,6.02,20.2,69
3746.766694,13417.94833,6.02,20.2,69
3747.266705,13420.52057,6.02,20.2,69
3747.766692,13423.09282,6.02,20.2,70
3748.266693,13427.98852,6.02,20.2,70
3748.766694,13430.31196,6.02,20.1,70
3749.266704,13433.14526,6.02,20.1,71
3749.766701,13436.23962,6.02,20.1,71
3750.266696,13442.16651,6.02,20.1,71
3750.766691,13444.47809,6.02,20.1,71
